,Date,Name,Duration,Distance,Speed,UpHill,DownHill
0,2023-12-12,Road Ride,1.22,22.53,18.5,254,250
1,2023-12-10,Road Ride,1.64,27.57,16.8,267,258
2,2023-12-08,three bridges,2.16,32.46,15.0,345,351
3,2023-12-05,Road Ride,0.58,10.78,18.7,88,57
4,2023-12-02,Road Ride,0.55,8.88,16.1,85,68
5,2023-12-01,Yesodot,1.3,21.57,16.6,261,256
6,2023-11-25,"Around Yavne,  Ben, Moshe",2.28,35.25,15.4,267,279
7,2023-11-21,to zula and back,1.91,32.75,17.2,315,346
8,2023-11-18,Road Ride,2.31,38.89,16.8,316,317
9,2023-11-17,Road Ride,1.3,22.35,17.2,221,217
10,2023-11-13,Road Ride,1.15,20.99,18.2,194,187
11,2023-11-04,Road Ride,2.64,24.64,9.3,317,267
12,2023-11-02,Road Ride,1.36,25.47,18.8,225,223
13,2023-10-30,Hike,1.45,25.04,17.2,208,213
14,2023-10-28,Road Ride,1.86,30.37,16.4,285,274
15,2023-10-27,Road Ride,1.12,20.99,18.7,195,195
16,2023-10-24,Road Ride,3.22,58.09,18.1,393,2272
17,2023-10-23,Road Ride,1.31,22.0,16.8,219,215
18,2023-10-21,Road Ride,1.94,30.65,15.8,310,316
19,2023-10-19,Road Ride,1.37,22.81,16.6,267,251
20,2023-10-18,Road Ride,1.31,21.49,16.5,336,326
21,2023-10-16,Road Ride,1.44,20.9,14.5,297,211
22,2023-09-02,Road Ride,1.92,33.96,17.7,291,292
23,2023-08-31,Road Ride,1.14,21.57,18.8,186,187
24,2023-08-29,Road Ride,1.38,24.57,17.8,219,218
25,2023-08-26,Road Ride,2.37,38.29,16.2,301,299
26,2023-08-24,Road Ride,1.58,28.62,18.1,212,208
27,2023-08-22,Nordic Walking Tour,1.31,21.57,16.5,178,181
28,2023-08-19,Road Ride,2.44,38.7,15.8,435,449
29,2023-08-16,Road Ride,1.7,28.48,16.8,250,259
30,2023-08-12,Road Ride,2.24,39.78,17.8,358,361
31,2023-08-05,Road Ride,3.15,45.4,14.4,218,264
32,2023-08-02,גדרה אשדוד ים עם ניר,2.25,36.06,16.0,338,351
33,2023-07-31,Road Ride,1.81,30.53,16.9,257,259
34,2023-07-29,Road Ride,2.66,39.63,14.9,348,354
35,2023-07-27,Road Ride,1.51,27.31,18.1,217,222
36,2023-07-12,Road Ride סיבוב מהיר לבית גמליאל,1.06,21.06,19.9,148,152
37,2023-07-10,לחירבה ליד ישעי ןחזרה,2.75,47.62,17.3,415,415
38,2023-07-08,Road Ride,3.28,48.19,14.7,324,339
